Time, ID, Lat, Lon, Alt, #number of networks, SSID1, MAC1, Frequncy1, Signal1,SSID2, MAC2, Frequncy2, Signal2,SSID3, MAC3, Frequncy3, Signal3,SSID4, MAC4, Frequncy4, Signal4,SSID5, MAC5, Frequncy5, Signal5,SSID6, MAC6, Frequncy6, Signal6,SSID7, MAC7, Frequncy7, Signal7,SSID8, MAC8, Frequncy8, Signal8,SSID9, MAC9, Frequncy9, Signal9,SSID10, MAC10, Frequncy10, Signal10
2017-11-08 18:21:36,Z01B_1,32.09236152,34.83377511,36.762939453125,3,BezeqFree,14:af:db:cd:1b:12,5,-86,1112moson,80:37:73:d7:43:8b,1,-86,BEZEQINT-3BC1,14:ae:db:42:3b:c5,1,-86,
2017-11-08 18:21:39,Z01B_1,32.09236246,34.83375919,39.20867919921875,3,HOTBOX-12,00:78:9e:fb:89:28,11,-79,revez1,10:0d:7f:8c:b6:cc,11,-87,kobi_2.4,70:62:b8:31:82:f6,1,-88,
2017-11-08 18:21:42,Z01B_1,32.09235795,34.83371351,44.217041015625,2,kostikil,00:25:86:c8:13:28,7,-83,devorah2.4,a0:ab:1b:61:9d:40,10,-85,
2017-11-08 18:21:45,Z01B_1,32.09235167,34.83371175,44.1925048828125,1,kobi_2.4,70:62:b8:31:82:f6,1,-83,
2017-11-08 18:21:51,Z01B_1,32.09235118,34.83371065,44.90185546875,1,BezeqFree,06:ae:db:49:04:15,6,-91,
2017-11-08 18:22:11,Z01B_1,32.09230168,34.83339062,42.7381591796875,2,lilian,14:ae:db:57:bc:ed,6,-88,HOTBOX-5D8F,f8:ab:05:e9:23:ed,1,-91,
2017-11-08 18:22:14,Z01B_1,32.09229845,34.83310142,43.02838134765625,1,babani,e8:d1:1b:9a:35:d6,11,-84,
2017-11-08 18:22:15,Z01B_1,32.09226962,34.83302312,44.9139404296875,3,malka,48:ee:0c:3b:72:07,9,-85,bezeq3111,14:ae:db:57:4c:9d,1,-86,babani,f8:ab:05:ea:43:07,11,-86,
2017-11-08 18:22:16,Z01B_1,32.09223367,34.83289984,45.0128173828125,2,babani,f8:ab:05:ea:43:2f,1,-87,HOTBOX-4BC8,84:a1:d1:0f:47:77,1,-88,
2017-11-08 18:22:17,Z01B_1,32.09218515,34.83278582,44.464111328125,1,Juda,10:5a:f7:08:80:42,11,-84,
2017-11-08 18:22:18,Z01B_1,32.0921522,34.83268222,46.9178466796875,9,sss,8e:f5:a3:f8:cb:06,1,-47,Rolex1,14:ae:db:4c:e6:8d,11,-79,bezeqNGN_009328_2.46Hz_1_2.4,f8:e9:03:11:d2:0b,11,-89,Kavim_WIFI,00:1a:dd:c8:1f:c7,6,-77,sos,d4:6e:0e:3c:11:5c,6,-91,BEZEQINT-3BC1,14:ae:db:42:3b:c5,1,-90,kostikil,00:25:86:c8:13:28,7,-87,Mali,00:78:9e:fa:6b:4d,1,-87,DIRECT-F6-HP DeskJet 3830 series,fc:3f:db:a1:44:fa,6,-86,
2017-11-08 18:22:20,Z01B_1,32.09209003,34.8324811,47.02392578125,7,ql-06183989,1c:7e:e5:a6:96:33,6,-85,DIRECT-B8-HP DeskJet 3830 series,dc:4a:3e:cf:4f:4e,6,-85,shy,9c:d6:43:21:e9:eb,6,-86,Igal,f8:e9:03:14:80:e4,1,-92,shuki2018,14:ae:db:b3:50:8d,11,-92,HOTBOX-7950,e8:d1:1b:73:79:56,11,-92,RobSign_2.4,c4:04:15:4f:e3:8a,11,-90,
2017-11-08 18:22:21,Z01B_1,32.09200853,34.83239284,47.3455810546875,5,RobSign_2.4,c4:04:15:4f:e3:8a,11,-85,BezeqFree,06:ae:db:b3:50:8d,11,-88,Home Wireless,00:12:2a:1d:9f:e6,1,-88,kirill_2.4,f8:e9:03:0e:59:db,1,-91,BezeqFree,14:af:db:3e:35:f2,11,-91,
2017-11-08 18:22:23,Z01B_1,32.09192713,34.83212682,46.3388671875,2,sos,14:ae:db:b8:0d:f5,6,-86,shuki2018,14:ae:db:b3:50:8d,11,-84,
